,STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
102,GUJARAT,2009,Total,27,1255,1404,737,248,3671,30,1159,771,348,177,2485,6156
103,GUJARAT,2009,Total Salaried,0,226,314,163,12,715,0,46,34,17,1,98,813
104,GUJARAT,2009,Total Self-employed,4,609,760,400,117,1890,1,121,95,47,35,299,2189
105,HARYANA,2009,House Wife,0,0,0,0,0,0,2,176,196,57,10,441,441
106,HARYANA,2009,Service (Government),0,26,34,15,5,80,0,3,3,0,0,6,86
107,HARYANA,2009,Service (Private),0,100,98,47,8,253,0,16,13,3,0,32,285
108,HARYANA,2009,Public Sector Undertaking,0,35,19,8,2,64,0,7,0,0,0,7,71
109,HARYANA,2009,Student,10,70,3,0,0,83,16,16,0,0,0,32,115
110,HARYANA,2009,Unemployed,0,86,90,37,7,220,0,17,15,0,1,33,253
111,HARYANA,2009,Self-employed (Business activity),0,16,18,13,2,49,0,0,0,0,0,0,49
112,HARYANA,2009,Professional Activity,0,7,13,8,0,28,0,0,0,0,0,0,28
113,HARYANA,2009,Farming/Agriculture Activity,0,44,107,62,12,225,0,1,2,2,0,5,230
114,HARYANA,2009,Others (Please Specify),0,76,57,21,10,164,3,1,0,0,0,4,168
115,HARYANA,2009,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
116,HARYANA,2009,Others (Please Specify),28,232,220,127,42,649,13,57,16,33,9,128,777
117,HARYANA,2009,Total,38,692,659,338,88,1815,34,294,245,95,20,688,2503
118,HARYANA,2009,Total Salaried,0,161,151,70,15,397,0,26,16,3,0,45,442
119,HARYANA,2009,Total Self-employed,0,143,195,104,24,466,3,2,2,2,0,9,475
120,HIMACHAL PRADESH,2009,House Wife,0,0,0,0,0,0,0,38,32,14,10,94,94
121,HIMACHAL PRADESH,2009,Service (Government),0,5,13,8,0,26,0,0,5,1,0,6,32
122,HIMACHAL PRADESH,2009,Service (Private),0,11,19,5,0,35,0,2,2,3,0,7,42
123,HIMACHAL PRADESH,2009,Public Sector Undertaking,0,7,3,5,3,18,0,2,0,3,1,6,24
124,HIMACHAL PRADESH,2009,Student,2,21,2,0,0,25,4,21,0,0,0,25,50
125,HIMACHAL PRADESH,2009,Unemployed,0,22,15,11,4,52,0,3,6,1,2,12,64
126,HIMACHAL PRADESH,2009,Self-employed (Business activity),0,1,9,3,3,16,0,0,1,0,0,1,17
127,HIMACHAL PRADESH,2009,Professional Activity,0,0,3,0,0,3,0,0,0,0,0,0,3
128,HIMACHAL PRADESH,2009,Farming/Agriculture Activity,0,1,8,10,5,24,0,0,0,0,0,0,24
129,HIMACHAL PRADESH,2009,Others (Please Specify),1,7,12,11,5,36,0,3,2,1,1,7,43
130,HIMACHAL PRADESH,2009,Retired Person,0,0,0,0,4,4,0,0,0,0,1,1,5
131,HIMACHAL PRADESH,2009,Others (Please Specify),2,51,44,19,11,127,7,15,7,3,3,35,162
132,HIMACHAL PRADESH,2009,Total,5,126,128,72,35,366,11,84,55,26,18,194,560
133,HIMACHAL PRADESH,2009,Total Salaried,0,23,35,18,3,79,0,4,7,7,1,19,98
134,HIMACHAL PRADESH,2009,Total Self-employed,1,9,32,24,13,79,0,3,3,1,1,8,87
135,JAMMU & KASHMIR,2009,House Wife,0,0,0,0,0,0,0,34,14,1,1,50,50
136,JAMMU & KASHMIR,2009,Service (Government),0,8,14,4,0,26,0,3,4,2,0,9,35
137,JAMMU & KASHMIR,2009,Service (Private),0,4,11,6,3,24,0,2,3,1,0,6,30
138,JAMMU & KASHMIR,2009,Public Sector Undertaking,0,1,2,1,2,6,0,0,1,0,0,1,7
139,JAMMU & KASHMIR,2009,Student,0,3,1,0,0,4,0,12,4,0,0,16,20
140,JAMMU & KASHMIR,2009,Unemployed,0,12,20,9,0,41,0,9,10,2,0,21,62
141,JAMMU & KASHMIR,2009,Self-employed (Business activity),0,1,5,7,4,17,0,1,0,0,0,1,18
142,JAMMU & KASHMIR,2009,Professional Activity,0,0,2,0,0,2,0,1,0,0,0,1,3
143,JAMMU & KASHMIR,2009,Farming/Agriculture Activity,0,6,1,0,1,8,0,0,0,0,0,0,8
144,JAMMU & KASHMIR,2009,Others (Please Specify),0,3,10,5,3,21,2,5,6,3,3,19,40
145,JAMMU & KASHMIR,2009,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
146,JAMMU & KASHMIR,2009,Others (Please Specify),0,6,8,2,3,19,0,14,12,1,2,29,48
147,JAMMU & KASHMIR,2009,Total,0,44,74,34,16,168,2,81,54,10,6,153,321
148,JAMMU & KASHMIR,2009,Total Salaried,0,13,27,11,5,56,0,5,8,3,0,16,72
149,JAMMU & KASHMIR,2009,Total Self-employed,0,10,18,12,8,48,2,7,6,3,3,21,69
150,JHARKHAND,2009,House Wife,0,0,0,0,0,0,0,54,87,40,4,185,185
151,JHARKHAND,2009,Service (Government),0,1,14,2,0,17,0,5,2,0,0,7,24
152,JHARKHAND,2009,Service (Private),0,21,68,30,1,120,1,12,2,1,0,16,136
153,JHARKHAND,2009,Public Sector Undertaking,0,1,1,1,0,3,1,0,0,0,0,1,4
154,JHARKHAND,2009,Student,7,53,3,0,0,63,8,25,0,0,0,33,96
155,JHARKHAND,2009,Unemployed,0,23,39,15,10,87,0,7,6,0,0,13,100
156,JHARKHAND,2009,Self-employed (Business activity),0,7,15,11,0,33,0,2,2,0,0,4,37
157,JHARKHAND,2009,Professional Activity,0,6,9,5,0,20,0,1,1,0,0,2,22
158,JHARKHAND,2009,Farming/Agriculture Activity,0,35,84,34,6,159,0,0,4,1,0,5,164
159,JHARKHAND,2009,Others (Please Specify),1,34,20,16,6,77,1,7,10,5,0,23,100
160,JHARKHAND,2009,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1
161,JHARKHAND,2009,Others (Please Specify),8,22,19,88,27,164,11,22,10,17,19,79,243
162,JHARKHAND,2009,Total,16,203,272,202,51,744,22,135,124,64,23,368,1112
163,JHARKHAND,2009,Total Salaried,0,23,83,33,1,140,2,17,4,1,0,24,164
164,JHARKHAND,2009,Total Self-employed,1,82,128,66,12,289,1,10,17,6,0,34,323
165,KARNATAKA,2009,House Wife,0,0,0,0,0,0,12,526,608,378,172,1696,1696
166,KARNATAKA,2009,Service (Government),0,14,32,45,1,92,0,9,4,2,0,15,107
167,KARNATAKA,2009,Service (Private),0,230,296,139,68,733,1,66,31,11,13,122,855
168,KARNATAKA,2009,Public Sector Undertaking,0,115,72,42,15,244,0,18,16,12,2,48,292
169,KARNATAKA,2009,Student,39,206,29,0,0,274,19,207,7,0,0,233,507
170,KARNATAKA,2009,Unemployed,0,130,227,98,25,480,2,33,12,5,3,55,535
171,KARNATAKA,2009,Self-employed (Business activity),0,151,234,224,27,636,0,9,13,7,1,30,666
172,KARNATAKA,2009,Professional Activity,0,39,58,40,7,144,0,8,2,1,0,11,155
173,KARNATAKA,2009,Farming/Agriculture Activity,6,318,705,590,296,1915,0,112,163,70,22,367,2282
174,KARNATAKA,2009,Others (Please Specify),19,349,640,647,303,1958,98,178,207,217,65,765,2723
175,KARNATAKA,2009,Retired Person,0,0,5,3,41,49,0,4,1,0,1,6,55
176,KARNATAKA,2009,Others (Please Specify),139,267,605,503,170,1684,31,136,188,192,91,638,2322
177,KARNATAKA,2009,Total,203,1819,2903,2331,953,8209,163,1306,1252,895,370,3986,12195
178,KARNATAKA,2009,Total Salaried,0,359,400,226,84,1069,1,93,51,25,15,185,1254
179,KARNATAKA,2009,Total Self-employed,25,857,1637,1501,633,4653,98,307,385,295,88,1173,5826
180,KERALA,2009,House Wife,0,0,0,0,0,0,0,258,375,422,261,1316,1316
181,KERALA,2009,Service (Government),0,7,24,25,1,57,0,3,6,6,0,15,72
182,KERALA,2009,Service (Private),1,72,162,103,16,354,0,28,28,18,6,80,434
183,KERALA,2009,Public Sector Undertaking,0,7,37,43,0,87,0,9,5,5,0,19,106
184,KERALA,2009,Student,32,75,0,0,0,107,30,137,0,0,0,167,274
185,KERALA,2009,Unemployed,0,130,220,134,136,620,0,55,57,22,49,183,803
186,KERALA,2009,Self-employed (Business activity),0,80,194,222,90,586,0,1,5,6,0,12,598
187,KERALA,2009,Professional Activity,0,48,73,68,24,213,0,3,5,7,0,15,228
188,KERALA,2009,Farming/Agriculture Activity,0,116,252,294,158,820,0,19,18,23,16,76,896
189,KERALA,2009,Others (Please Specify),4,290,456,479,234,1463,0,95,51,46,25,217,1680
190,KERALA,2009,Retired Person,0,0,5,16,62,83,0,0,0,2,10,12,95
191,KERALA,2009,Others (Please Specify),1,366,556,658,351,1932,0,97,66,76,82,321,2253
192,KERALA,2009,Total,38,1191,1979,2042,1072,6322,30,705,616,633,449,2433,8755
193,KERALA,2009,Total Salaried,1,86,223,171,17,498,0,40,39,29,6,114,612
194,KERALA,2009,Total Self-employed,4,534,975,1063,506,3082,0,118,79,82,41,320,3402
195,MADHYA PRADESH,2009,House Wife,0,0,0,0,0,0,11,1334,652,220,69,2286,2286
196,MADHYA PRADESH,2009,Service (Government),0,13,15,16,0,44,0,1,4,8,0,13,57
197,MADHYA PRADESH,2009,Service (Private),1,136,230,144,27,538,0,73,14,11,2,100,638
198,MADHYA PRADESH,2009,Public Sector Undertaking,0,10,12,8,1,31,0,4,0,0,0,4,35
199,MADHYA PRADESH,2009,Student,75,213,41,10,0,339,68,169,20,1,0,258,597
200,MADHYA PRADESH,2009,Unemployed,6,160,94,34,7,301,0,16,5,1,0,22,323
201,MADHYA PRADESH,2009,Self-employed (Business activity),23,136,185,165,72,581,0,8,13,2,0,23,604
202,MADHYA PRADESH,2009,Professional Activity,20,96,111,97,32,356,0,11,4,3,0,18,374
203,MADHYA PRADESH,2009,Farming/Agriculture Activity,6,418,354,239,103,1120,6,127,102,25,15,275,1395
204,MADHYA PRADESH,2009,Others (Please Specify),15,297,251,143,80,786,63,85,72,18,11,249,1035
205,MADHYA PRADESH,2009,Retired Person,0,0,3,2,10,15,0,0,0,0,0,0,15
206,MADHYA PRADESH,2009,Others (Please Specify),120,279,288,230,72,989,94,268,256,87,60,765,1754
207,MADHYA PRADESH,2009,Total,266,1758,1584,1088,404,5100,242,2096,1142,376,157,4013,9113
208,MADHYA PRADESH,2009,Total Salaried,1,159,257,168,28,613,0,78,18,19,2,117,730
209,MADHYA PRADESH,2009,Total Self-employed,64,947,901,644,287,2843,69,231,191,48,26,565,3408
210,MAHARASHTRA,2009,House Wife,0,0,0,0,0,0,0,1656,1097,399,231,3383,3383
211,MAHARASHTRA,2009,Service (Government),0,20,61,57,1,139,0,8,3,4,0,15,154
212,MAHARASHTRA,2009,Service (Private),0,496,724,345,45,1610,0,78,33,8,1,120,1730
213,MAHARASHTRA,2009,Public Sector Undertaking,0,37,74,38,2,151,0,7,3,2,0,12,163
214,MAHARASHTRA,2009,Student,42,358,3,0,0,403,48,353,8,0,0,409,812
215,MAHARASHTRA,2009,Unemployed,0,356,313,119,33,821,0,33,10,9,0,52,873
216,MAHARASHTRA,2009,Self-employed (Business activity),0,112,165,108,27,412,0,3,4,0,0,7,419
217,MAHARASHTRA,2009,Professional Activity,0,162,219,157,53,591,0,13,14,9,3,39,630
218,MAHARASHTRA,2009,Farming/Agriculture Activity,0,557,1062,728,345,2692,2,89,36,40,13,180,2872
219,MAHARASHTRA,2009,Others (Please Specify),2,723,930,576,280,2511,2,131,76,27,16,252,2763
220,MAHARASHTRA,2009,Retired Person,0,0,2,14,117,133,0,0,0,1,2,3,136
221,MAHARASHTRA,2009,Others (Please Specify),4,80,133,48,57,322,3,16,10,4,10,43,365
222,MAHARASHTRA,2009,Total,48,2901,3686,2190,960,9785,55,2387,1294,503,276,4515,14300
223,MAHARASHTRA,2009,Total Salaried,0,553,859,440,48,1900,0,93,39,14,1,147,2047
224,MAHARASHTRA,2009,Total Self-employed,2,1554,2376,1569,705,6206,4,236,130,76,32,478,6684
225,MANIPUR,2009,House Wife,0,0,0,0,0,0,0,3,2,0,0,5,5
226,MANIPUR,2009,Service (Government),0,3,2,1,0,6,0,0,0,0,0,0,6
227,MANIPUR,2009,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0
228,MANIPUR,2009,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
229,MANIPUR,2009,Student,0,0,0,0,0,0,0,0,0,0,0,0,0
230,MANIPUR,2009,Unemployed,0,3,4,0,0,7,0,0,1,0,0,1,8
231,MANIPUR,2009,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
232,MANIPUR,2009,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
233,MANIPUR,2009,Farming/Agriculture Activity,0,0,0,0,0,0,0,1,0,0,0,1,1
234,MANIPUR,2009,Others (Please Specify),0,0,4,0,0,4,0,1,0,0,0,1,5
235,MANIPUR,2009,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
236,MANIPUR,2009,Others (Please Specify),0,0,1,0,0,1,0,1,0,0,0,1,2
237,MANIPUR,2009,Total,0,6,11,1,0,18,0,6,3,0,0,9,27
238,MANIPUR,2009,Total Salaried,0,3,2,1,0,6,0,0,0,0,0,0,6
239,MANIPUR,2009,Total Self-employed,0,0,4,0,0,4,0,2,0,0,0,2,6
240,MEGHALAYA,2009,House Wife,0,0,0,0,0,0,0,4,2,5,0,11,11
241,MEGHALAYA,2009,Service (Government),0,0,0,1,0,1,0,0,0,0,0,0,1
242,MEGHALAYA,2009,Service (Private),0,0,0,1,0,1,0,0,0,0,0,0,1
243,MEGHALAYA,2009,Public Sector Undertaking,0,0,1,0,1,2,0,0,0,0,0,0,2
244,MEGHALAYA,2009,Student,1,6,0,0,0,7,0,2,0,0,0,2,9
245,MEGHALAYA,2009,Unemployed,0,2,4,0,0,6,0,1,0,0,0,1,7
246,MEGHALAYA,2009,Self-employed (Business activity),0,1,1,1,0,3,0,0,0,0,0,0,3
247,MEGHALAYA,2009,Professional Activity,0,0,0,0,0,0,0,0,3,0,0,3,3
248,MEGHALAYA,2009,Farming/Agriculture Activity,0,3,2,10,1,16,0,5,0,0,0,5,21
249,MEGHALAYA,2009,Others (Please Specify),0,1,1,0,0,2,1,3,0,0,0,4,6
250,MEGHALAYA,2009,Retired Person,0,0,0,1,1,2,0,0,0,0,0,0,2
251,MEGHALAYA,2009,Others (Please Specify),0,11,2,13,1,27,0,3,1,12,3,19,46
252,MEGHALAYA,2009,Total,1,24,11,27,4,67,1,18,6,17,3,45,112
253,MEGHALAYA,2009,Total Salaried,0,0,1,2,1,4,0,0,0,0,0,0,4
254,MEGHALAYA,2009,Total Self-employed,0,5,4,11,1,21,1,8,3,0,0,12,33
255,MIZORAM,2009,House Wife,0,0,0,0,0,0,0,0,1,0,0,1,1
256,MIZORAM,2009,Service (Government),0,0,1,0,0,1,0,0,0,0,0,0,1
257,MIZORAM,2009,Service (Private),0,1,1,0,0,2,0,0,0,0,0,0,2
258,MIZORAM,2009,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
259,MIZORAM,2009,Student,0,1,0,0,0,1,0,0,0,0,0,0,1
260,MIZORAM,2009,Unemployed,0,1,5,0,0,6,0,0,0,0,0,0,6
261,MIZORAM,2009,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
262,MIZORAM,2009,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
263,MIZORAM,2009,Farming/Agriculture Activity,1,16,14,1,1,33,0,2,1,2,0,5,38
264,MIZORAM,2009,Others (Please Specify),0,6,4,2,0,12,0,1,0,0,0,1,13
265,MIZORAM,2009,Retired Person,0,0,0,1,0,1,0,0,0,0,0,0,1
266,MIZORAM,2009,Others (Please Specify),0,6,0,0,0,6,0,0,0,0,0,0,6
267,MIZORAM,2009,Total,1,31,25,4,1,62,0,3,2,2,0,7,69
268,MIZORAM,2009,Total Salaried,0,1,2,0,0,3,0,0,0,0,0,0,3
269,MIZORAM,2009,Total Self-employed,1,22,18,3,1,45,0,3,1,2,0,6,51
270,NAGALAND,2009,House Wife,0,0,0,0,0,0,0,1,1,0,0,2,2
271,NAGALAND,2009,Service (Government),0,1,2,2,0,5,0,0,0,0,0,0,5
272,NAGALAND,2009,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0
273,NAGALAND,2009,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
274,NAGALAND,2009,Student,0,2,0,0,0,2,0,0,0,0,0,0,2
275,NAGALAND,2009,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0
276,NAGALAND,2009,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1
277,NAGALAND,2009,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
278,NAGALAND,2009,Farming/Agriculture Activity,0,0,0,0,0,0,0,1,0,0,0,1,1
279,NAGALAND,2009,Others (Please Specify),0,8,3,1,0,12,0,1,1,0,0,2,14
280,NAGALAND,2009,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
281,NAGALAND,2009,Others (Please Specify),2,1,1,1,0,5,0,1,0,0,0,1,6
282,NAGALAND,2009,Total,2,12,7,4,0,25,0,4,2,0,0,6,31
283,NAGALAND,2009,Total Salaried,0,1,2,2,0,5,0,0,0,0,0,0,5
284,NAGALAND,2009,Total Self-employed,0,8,4,1,0,13,0,2,1,0,0,3,16
285,ODISHA,2009,House Wife,0,0,0,0,0,0,0,254,261,92,20,627,627
286,ODISHA,2009,Service (Government),0,9,6,17,1,33,0,8,2,1,0,11,44
287,ODISHA,2009,Service (Private),0,83,93,45,17,238,0,53,35,13,0,101,339
288,ODISHA,2009,Public Sector Undertaking,0,52,39,17,11,119,0,12,27,17,0,56,175
289,ODISHA,2009,Student,20,140,1,0,0,161,26,105,1,0,0,132,293
290,ODISHA,2009,Unemployed,16,133,139,75,11,374,10,66,19,17,2,114,488
291,ODISHA,2009,Self-employed (Business activity),0,71,112,59,13,255,0,2,13,4,0,19,274
292,ODISHA,2009,Professional Activity,0,11,17,9,0,37,0,5,3,0,3,11,48
293,ODISHA,2009,Farming/Agriculture Activity,0,35,56,40,12,143,0,6,1,4,0,11,154
294,ODISHA,2009,Others (Please Specify),20,229,288,180,70,787,18,205,187,101,40,551,1338
295,ODISHA,2009,Retired Person,0,0,0,17,28,45,0,0,0,0,12,12,57
296,ODISHA,2009,Others (Please Specify),13,83,163,69,47,375,13,67,48,16,9,153,528
297,ODISHA,2009,Total,69,846,914,528,210,2567,67,783,597,265,86,1798,4365
298,ODISHA,2009,Total Salaried,0,144,138,79,29,390,0,73,64,31,0,168,558
299,ODISHA,2009,Total Self-employed,20,346,473,288,95,1222,18,218,204,109,43,592,1814
300,PUNJAB,2009,House Wife,0,0,0,0,0,0,0,64,49,12,5,130,130
301,PUNJAB,2009,Service (Government),0,1,13,1,0,15,0,0,0,0,0,0,15
302,PUNJAB,2009,Service (Private),1,20,22,5,6,54,0,3,4,0,0,7,61
303,PUNJAB,2009,Public Sector Undertaking,0,1,3,0,2,6,0,0,2,0,0,2,8
304,PUNJAB,2009,Student,7,18,4,0,0,29,4,22,0,0,0,26,55
305,PUNJAB,2009,Unemployed,0,20,20,2,1,43,0,3,2,0,0,5,48
306,PUNJAB,2009,Self-employed (Business activity),1,12,22,13,3,51,0,0,0,0,2,2,53
307,PUNJAB,2009,Professional Activity,0,5,11,15,0,31,0,0,1,0,0,1,32
308,PUNJAB,2009,Farming/Agriculture Activity,0,38,35,14,6,93,0,2,0,2,0,4,97
309,PUNJAB,2009,Others (Please Specify),2,73,52,35,14,176,0,4,2,2,1,9,185
310,PUNJAB,2009,Retired Person,0,2,5,4,1,12,0,0,0,4,4,8,20
311,PUNJAB,2009,Others (Please Specify),0,40,33,33,19,125,1,9,1,4,3,18,143
312,PUNJAB,2009,Total,11,230,220,122,52,635,5,107,61,24,15,212,847
313,PUNJAB,2009,Total Salaried,1,22,38,6,8,75,0,3,6,0,0,9,84
314,PUNJAB,2009,Total Self-employed,3,128,120,77,23,351,0,6,3,4,3,16,367
315,RAJASTHAN,2009,House Wife,0,0,0,0,0,0,23,466,410,142,29,1070,1070
316,RAJASTHAN,2009,Service (Government),0,5,19,11,1,36,0,7,3,0,0,10,46
317,RAJASTHAN,2009,Service (Private),0,188,217,91,26,522,0,12,2,0,0,14,536
318,RAJASTHAN,2009,Public Sector Undertaking,0,2,5,9,4,20,0,1,1,1,0,3,23
319,RAJASTHAN,2009,Student,37,108,1,0,0,146,20,55,2,0,0,77,223
320,RAJASTHAN,2009,Unemployed,0,77,47,14,1,139,0,5,3,8,1,17,156
321,RAJASTHAN,2009,Self-employed (Business activity),0,61,158,54,4,277,0,2,2,2,0,6,283
322,RAJASTHAN,2009,Professional Activity,0,8,35,9,0,52,0,0,1,0,0,1,53
323,RAJASTHAN,2009,Farming/Agriculture Activity,7,196,337,190,45,775,0,33,28,12,3,76,851
324,RAJASTHAN,2009,Others (Please Specify),17,301,343,206,35,902,13,67,53,10,3,146,1048
325,RAJASTHAN,2009,Retired Person,0,0,1,1,3,5,0,0,0,0,1,1,6
326,RAJASTHAN,2009,Others (Please Specify),38,214,179,140,66,637,6,62,43,18,4,133,770
327,RAJASTHAN,2009,Total,99,1160,1342,725,185,3511,62,710,548,193,41,1554,5065
328,RAJASTHAN,2009,Total Salaried,0,195,241,111,31,578,0,20,6,1,0,27,605
329,RAJASTHAN,2009,Total Self-employed,24,566,873,459,84,2006,13,102,84,24,6,229,2235
330,SIKKIM,2009,House Wife,0,0,0,0,0,0,0,5,3,0,0,8,8
331,SIKKIM,2009,Service (Government),0,5,2,0,0,7,0,3,2,0,0,5,12
332,SIKKIM,2009,Service (Private),0,7,3,2,1,13,0,7,4,4,3,18,31
333,SIKKIM,2009,Public Sector Undertaking,0,3,5,3,0,11,0,8,5,3,0,16,27
334,SIKKIM,2009,Student,0,5,0,0,0,5,0,2,0,0,0,2,7
335,SIKKIM,2009,Unemployed,0,2,3,5,2,12,0,11,7,5,0,23,35
336,SIKKIM,2009,Self-employed (Business activity),0,11,7,7,1,26,0,5,1,3,0,9,35
337,SIKKIM,2009,Professional Activity,0,7,0,2,0,9,0,6,3,5,0,14,23
338,SIKKIM,2009,Farming/Agriculture Activity,0,12,0,1,1,14,0,3,2,2,2,9,23
339,SIKKIM,2009,Others (Please Specify),1,3,2,1,1,8,1,3,1,0,0,5,13
340,SIKKIM,2009,Retired Person,0,0,0,2,2,4,0,0,0,1,2,3,7
341,SIKKIM,2009,Others (Please Specify),2,10,1,0,0,13,2,4,1,0,0,7,20
342,SIKKIM,2009,Total,3,65,23,23,8,122,3,57,29,23,7,119,241
343,SIKKIM,2009,Total Salaried,0,15,10,5,1,31,0,18,11,7,3,39,70
344,SIKKIM,2009,Total Self-employed,1,33,9,11,3,57,1,17,7,10,2,37,94
345,TAMIL NADU,2009,House Wife,0,0,0,0,0,0,0,987,1017,492,267,2763,2763
346,TAMIL NADU,2009,Service (Government),0,7,86,104,11,208,0,8,26,11,0,45,253
347,TAMIL NADU,2009,Service (Private),0,393,604,308,54,1359,0,138,125,98,19,380,1739
348,TAMIL NADU,2009,Public Sector Undertaking,0,152,136,48,9,345,0,4,12,11,0,27,372
349,TAMIL NADU,2009,Student,83,174,0,0,0,257,68,131,0,0,0,199,456
350,TAMIL NADU,2009,Unemployed,3,359,617,446,137,1562,6,171,83,140,24,424,1986
351,TAMIL NADU,2009,Self-employed (Business activity),0,152,249,209,99,709,2,34,53,22,11,122,831
352,TAMIL NADU,2009,Professional Activity,0,97,84,23,38,242,0,38,23,16,9,86,328
353,TAMIL NADU,2009,Farming/Agriculture Activity,5,195,306,244,106,856,7,86,56,36,19,204,1060
354,TAMIL NADU,2009,Others (Please Specify),27,485,645,437,239,1833,26,197,215,82,49,569,2402
355,TAMIL NADU,2009,Retired Person,0,0,0,84,98,182,0,0,0,14,18,32,214
356,TAMIL NADU,2009,Others (Please Specify),18,347,447,346,239,1397,35,283,159,97,49,623,2020
357,TAMIL NADU,2009,Total,136,2361,3174,2249,1030,8950,144,2077,1769,1019,465,5474,14424
358,TAMIL NADU,2009,Total Salaried,0,552,826,460,74,1912,0,150,163,120,19,452,2364
359,TAMIL NADU,2009,Total Self-employed,32,929,1284,913,482,3640,35,355,347,156,88,981,4621
360,TRIPURA,2009,House Wife,0,0,0,0,0,0,0,93,48,26,9,176,176
361,TRIPURA,2009,Service (Government),0,5,9,5,0,19,0,0,0,0,0,0,19
362,TRIPURA,2009,Service (Private),0,9,5,2,3,19,0,0,0,0,0,0,19
363,TRIPURA,2009,Public Sector Undertaking,0,0,2,0,0,2,0,0,0,0,0,0,2
364,TRIPURA,2009,Student,8,39,0,0,0,47,8,34,0,0,0,42,89
365,TRIPURA,2009,Unemployed,0,22,3,0,0,25,0,1,3,0,0,4,29
366,TRIPURA,2009,Self-employed (Business activity),0,15,38,18,0,71,0,4,0,0,0,4,75
367,TRIPURA,2009,Professional Activity,0,5,10,4,1,20,0,0,0,0,0,0,20
368,TRIPURA,2009,Farming/Agriculture Activity,0,11,16,13,5,45,0,0,0,0,0,0,45
369,TRIPURA,2009,Others (Please Specify),0,49,56,51,12,168,1,25,9,0,0,35,203
370,TRIPURA,2009,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
371,TRIPURA,2009,Others (Please Specify),1,32,15,2,1,51,1,1,2,5,1,10,61
372,TRIPURA,2009,Total,9,187,154,95,22,467,10,158,62,31,10,271,738
373,TRIPURA,2009,Total Salaried,0,14,16,7,3,40,0,0,0,0,0,0,40
374,TRIPURA,2009,Total Self-employed,0,80,120,86,18,304,1,29,9,0,0,39,343
375,UTTAR PRADESH,2009,House Wife,0,0,0,0,0,0,7,605,272,74,48,1006,1006
376,UTTAR PRADESH,2009,Service (Government),0,10,15,6,0,31,0,11,4,3,0,18,49
377,UTTAR PRADESH,2009,Service (Private),0,95,112,47,7,261,0,42,36,8,0,86,347
378,UTTAR PRADESH,2009,Public Sector Undertaking,0,16,12,22,0,50,0,16,7,0,0,23,73
379,UTTAR PRADESH,2009,Student,21,172,10,0,0,203,29,107,7,0,0,143,346
380,UTTAR PRADESH,2009,Unemployed,5,135,118,48,13,319,1,21,20,7,3,52,371
381,UTTAR PRADESH,2009,Self-employed (Business activity),0,45,31,38,12,126,0,6,10,2,0,18,144
382,UTTAR PRADESH,2009,Professional Activity,0,7,8,5,1,21,0,1,1,0,0,2,23
383,UTTAR PRADESH,2009,Farming/Agriculture Activity,6,121,253,96,48,524,0,59,28,24,21,132,656
384,UTTAR PRADESH,2009,Others (Please Specify),8,148,143,118,68,485,14,134,100,35,14,297,782
385,UTTAR PRADESH,2009,Retired Person,0,2,0,0,2,4,0,0,11,0,0,11,15
386,UTTAR PRADESH,2009,Others (Please Specify),11,85,63,38,18,215,11,67,35,8,10,131,346
387,UTTAR PRADESH,2009,Total,51,836,765,418,169,2239,62,1069,531,161,96,1919,4158
388,UTTAR PRADESH,2009,Total Salaried,0,121,139,75,7,342,0,69,47,11,0,127,469
389,UTTAR PRADESH,2009,Total Self-employed,14,321,435,257,129,1156,14,200,139,61,35,449,1605
390,UTTARAKHAND,2009,House Wife,0,0,0,0,0,0,0,42,25,7,1,75,75
391,UTTARAKHAND,2009,Service (Government),0,3,1,4,0,8,0,0,0,0,0,0,8
392,UTTARAKHAND,2009,Service (Private),0,15,9,9,0,33,0,2,4,0,0,6,39
393,UTTARAKHAND,2009,Public Sector Undertaking,0,3,1,2,0,6,0,0,0,2,0,2,8
394,UTTARAKHAND,2009,Student,1,20,0,0,0,21,3,16,0,0,0,19,40
